9.699999999999999734e-01,1.860000000000000098e+00,4.099999999999999756e-01
1.229999999999999982e+00,2.180000000000000160e+00,5.300000000000000266e-01
8.000000000000000444e-01,1.239999999999999991e+00,6.199999999999999956e-01
1.290000000000000036e+00,9.799999999999999822e-01,5.100000000000000089e-01
1.100000000000000089e+00,1.229999999999999982e+00,6.899999999999999467e-01
6.700000000000000400e-01,3.400000000000000244e-01,5.400000000000000355e-01
8.699999999999999956e-01,2.600000000000000089e-01,6.199999999999999956e-01
1.100000000000000089e+00,1.600000000000000033e-01,4.799999999999999822e-01
1.919999999999999929e+00,2.200000000000000011e-01,7.099999999999999645e-01
1.290000000000000036e+00,1.199999999999999956e-01,6.199999999999999956e-01
